name,source,description,mode,model,temperature,steps,declared_tools,declared_permissions,effective_task,effective_todowrite,custom_primary,dev_conversion_target
"altitude-execution","file+inline","Primary low-altitude execution agent. Executes exactly one approved .specs task at a time, edits only allowed files, records evidence, and updates the execution ledger.","subagent","","","40","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"altitude-intent","file+inline","Primary high-altitude agent for capturing intent, clarifying the problem, and creating or updating .specs change intent artifacts without source edits.","subagent","","","8","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"altitude-maestro","file+inline","Primary Harness V3 unified strategic coordinator. Classifies requests, resolves state, orchestrates multi-wave execution, routes to phase agents, and manages all strategic durable work. Replaces altitude.agent.md + altitude-coordinator.agent.md.","primary","","","32","","bash=allow","allow (global permission)","allow (global permission)","yes","no"
"altitude-memory","file+inline","Primary memory-altitude agent for updating .specs memory, active state, indexes, archives, lessons, and context budget after durable validated learning.","subagent","","","12","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"altitude-plan","file+inline","Primary planning-altitude agent for decomposing a ready change into small executable tasks with acceptance criteria, verification, evidence, and rollback.","subagent","","","24","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"altitude-report","file+inline","Primary report-altitude agent for creating executive and technical summaries from .specs artifacts, not chat history.","subagent","","","16","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"altitude-structure","file+inline","Primary system-altitude agent for repo-aware structure mapping, contracts, constraints, and .specs memory updates without implementation.","subagent","","","18","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"altitude-validation","file+inline","Primary validation-altitude agent for checking task evidence, verification results, diff scope, and acceptance criteria without silently fixing code.","subagent","","","20","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"architect.data-platform-engineer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"architect.genai-architect","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"architect.kb-architect","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"architect.lakehouse-architect","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"architect.medallion-architect","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"architect.pipeline-architect","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"architect.schema-designer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"architect.the-planner","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"cloud.ai-data-engineer-cloud","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"cloud.ai-data-engineer-gcp","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"cloud.ai-prompt-specialist-gcp","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"cloud.aws-data-architect","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"cloud.aws-deployer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"cloud.aws-lambda-architect","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"cloud.ci-cd-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"cloud.container-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"cloud.gcp-data-architect","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"cloud.lambda-builder","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"cloud.supabase-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"dashboard-layout-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineer","inline","Harness V3 tactical coordinator for bounded data-engineering work.","primary","","","32","","permission=allow","allow (global permission)","allow (global permission)","yes","no"
"data-engineering.ai-data-engineer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.airflow-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.dbt-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.lakeflow-architect","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.lakeflow-expert","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.lakeflow-pipeline-builder","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.lakeflow-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.qdrant-specialist","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
"data-engineering.spark-engineer","file",">-","subagent","","","","","bash=allow","allow (global permission)","allow (global permission)","no","no"
