wave_id,wave_name,task_id,task_type,title,priority,cutover_blocker,complexity,execution_owner,validator_owner,required_skills,dependencies,target_files_scope,actions,verification,acceptance_criteria,required_evidence,rollback,revision_notes,status
W0,"Baseline, freeze, and evidence",T-000,discovery,Create migration change package,P0,yes,S,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,-,".specs/changes/harness-skill-based-migration/{state.md,allocation.yaml,evidence/,tasks/}","Create a durable change package dedicated to this migration. | Record the approved decisions D-01 through D-14. | Set the active phase to `STRUCTURE` until the baseline is complete. | Define allowed, forbidden, and review-only paths.",Task-Spec must define exact commands before execution.,"The change has a unique ID and canonical directory. | State, allocation, evidence, and task directories exist. | No implementation file is modified by this task.","Directory tree, initial state file, allocation file, checksum of the baseline commit.",Delete only the newly created change directory.,Carried from v1; enriched with deterministic gates in v2.,pending
W0,"Baseline, freeze, and evidence",T-001,discovery,Snapshot repository and active branch,P0,yes,S,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,T-000,Repository root; .specs/changes/.../evidence/baseline/,"Record current commit SHA, branch, dirty state, file inventory, and counts by surface. | Capture `AGENTS.md`, `opencode.json`, agents, skills, commands, plugins, tools, docs, `.specs/shared`, and tests. | Generate checksums for files that will be changed or removed.",Task-Spec must define exact commands before execution.,Every migration-sensitive file has a checksum. | The baseline can identify unexpected edits during later waves. | The snapshot contains no credentials or token values.,"git status/log output, inventory manifest, checksum manifest.",Evidence-only task; remove generated evidence if needed.,Carried from v1; enriched with deterministic gates in v2.,pending
W0,"Baseline, freeze, and evidence",T-002,discovery,Resolve effective OpenCode configuration precedence,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,T-001,"opencode.json, opencode.jsonc, environment/config provenance report","Identify the OpenCode binary used by the TUI and CLI. | Record HOME, XDG_CONFIG_HOME, OPENCODE_CONFIG, OPENCODE_CONFIG_DIR, working directory, and project-local config locations without exposing secret values. | Determine which configuration files are merged and which source wins per key. | Explain why the UI shows MCP tools while `opencode mcp list` reports none.",Task-Spec must define exact commands before execution.,One effective-config report names every active source and precedence level. | The MCP discrepancy has a verified cause or is explicitly marked unresolved with next diagnostic commands. | The migration does not proceed to W8 while provenance remains unknown.,"Sanitized environment report, binary paths/versions, effective-config diff, MCP CLI output.",Read-only task.,Carried from v1; enriched with deterministic gates in v2.,pending
W0,"Baseline, freeze, and evidence",T-003,discovery,Inventory all agent metadata,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,T-001,agents/*.agent.md; opencode.json,"Extract name, description, mode, model, temperature, steps, tools, permissions, and task delegation rules. | Flag every custom `mode: primary` declaration. | Flag every subagent that can call `task` or `todowrite`. | Create a specific parity record for the six `dev.*` agents being converted.",Task-Spec must define exact commands before execution.,"Every agent is represented once in the inventory. | Primary agents, recursive delegators, and TODO writers are explicitly listed. | Model and permission differences are known before deletion.",CSV/Markdown agent capability matrix.,Read-only task.,Carried from v1; enriched with deterministic gates in v2.,pending
W0,"Baseline, freeze, and evidence",T-004,discovery,"Inventory commands, skills, contracts, and plugin enforcement",P0,yes,L,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,T-001,"commands/, skills/, .specs/shared/, sdd/architecture/, plugins/, tools/","Map each workflow command to its current agent, skill, contract, model override, and subtask behavior. | Separate AgentSpec lifecycle behavior from Altitude lifecycle behavior. | Classify every runtime rule as hard-enforced, soft-enforced, documentation-only, or stale. | Identify duplicate definitions and missing referenced files.",Task-Spec must define exact commands before execution.,The map shows where each behavior currently lives. | No proposed target behavior lacks an identified source or explicit new decision. | Plugin limitations are not described as hard gates.,Behavior ownership matrix and enforcement classification.,Read-only task.,Carried from v1; enriched with deterministic gates in v2.,pending
W0,"Baseline, freeze, and evidence",T-005,discovery,Run and preserve baseline tests,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,T-001,"test/, .pre-commit-config.yaml, package scripts, evidence/baseline-tests/","Select one runtime-test adapter after capability discovery: CLI `opencode run`, server API, or a documented manual TUI harness. | Run existing integration, edge-case, load, pre-commit, lint, and contract checks through the selected adapter. | Record skipped or broken suites as explicit baseline defects. | Capture duration and failure signatures for post-migration comparison.",Run the chosen adapter against one positive and one negative fixture; preserve logs.,Exactly one primary runtime-test adapter and one fallback are recorded. | Baseline pass/fail/skip status is reproducible. | Known failures are distinguished from migration regressions.,Test logs and summary matrix.,Evidence-only task.,Removed the nondeterministic later clause `if supported` by requiring adapter selection in W0.,pending
W0,"Baseline, freeze, and evidence",T-006,discovery,Define migration success metrics,P0,yes,S,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-002,T-003,T-004,T-005",.specs/changes/.../state.md; docs migration scorecard,"Define measurable outcomes for TODO traceability, subagent fan-out, context usage, validation coverage, MCP usage, and command compatibility. | Set a zero-tolerance target for custom primary agents and recursive delegation. | Define acceptable fallback behavior when an MCP is unavailable.",Task-Spec must define exact commands before execution.,"Each target has a measurement method. | Targets include correctness, traceability, context cost, and operability. | The scorecard can be rerun at final validation.",Approved scorecard.,Revert scorecard file.,Carried from v1; enriched with deterministic gates in v2.,pending
W0,"Baseline, freeze, and evidence",T-007,runtime-baseline,"Pin OpenCode runtime, schema, and update policy",P0,yes,S,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,T-002,.specs/changes/harness-skill-based-migration/evidence/runtime-version.md; staged config metadata,"Record the exact OpenCode binary version, installation method, schema URL/hash, plugin API version, Node/Bun runtime, and OS. | Select the target version used for migration validation. | Set autoupdate to a non-mutating policy during migration, or document why the installation method controls updates externally. | Define the compatibility window for future upgrades.",Run version and config-schema checks twice from the same binary path.,One exact runtime version is the migration baseline. | The schema snapshot/hash is recorded. | Unexpected auto-upgrade cannot occur during cutover validation.,"Version command output, installation provenance, schema hash, update-policy decision.",Restore the previous update policy.,Added by deterministic v2 audit.,pending
W0,"Baseline, freeze, and evidence",T-008,deployment-topology,Define global installation and path topology,P0,yes,M,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-002,T-007",.specs/changes/harness-skill-based-migration/installation-topology.md,"Confirm whether the repository itself is mounted or cloned at `~/.config/opencode`. | Resolve global versus project-local locations for AGENTS, agents, commands, skills, plugins, tools, rules, and config. | Document symlinks, install/copy steps, working-directory assumptions, and external-directory boundaries. | Define how a project-local AGENTS.md combines with the global harness.",Task-Spec must define exact commands before execution.,"Every target path in the roadmap resolves from one documented root. | Skill, command, agent, plugin, and tool discovery paths match the runtime. | No absolute `/home/ubuntu` dependency remains without an environment-neutral replacement.",Path-resolution table and discovery smoke results.,Documentation-only.,Added by deterministic v2 audit.,pending
W0,"Baseline, freeze, and evidence",T-009,state-repair,"Repair existing state, archive, control, and index drift",P0,yes,L,parent-or-allocated-leaf,independent-leaf-validator,resolved-by-activity-rule,"T-001,T-004",.specs/memory/active-state.md; .specs/changes/; .specs/archive/; control/; .specs/control/; kb-index.yaml,Reconcile active-state content with the real active change and phase. | Resolve changes duplicated between active and archive storage. | Mark one canonical control surface or record a blocking decision for W1. | Regenerate or quarantine stale repository/KB indexes before grounding rules use them. | Preserve evidence of every repair.,Task-Spec must define exact commands before execution.,There is one unambiguous active change state. | No change is simultaneously active and archived without an explicit lifecycle reason. | Stale indexes are not treated as current authority.,"Before/after state report, checksums, index validation, repair decisions.",Restore files from T-001 checksums.,Added by deterministic v2 audit.,pending
